host;public_ip;status;attempts;city;region;country;location;organization;postal;timezone;latency (ms);date
dixmax.com;188.114.97.5;OK;1;San Francisco;California;US;37.7621,-122.3971;AS13335 Cloudflare, Inc.;94107;America/Los_Angeles;2.88;20-03-2023 15:05:48
dl.cube.lodz.karma.orange.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;20-03-2023 15:05:48
dominospizza.es;194.224.110.10;OK;1;Madrid;Madrid;ES;40.4165,-3.7026;AS3352 TELEFONICA DE ESPANA S.A.U.;28001;Europe/Madrid;5.62;20-03-2023 15:05:48
part-0015.t-0009.fdv2-t-msedge.net;13.107.237.43;OK;1;Redmond;Washington;US;47.6740,-122.1215;AS8075 Microsoft Corporation;98052;America/Los_Angeles;3.62;20-03-2023 15:05:49
doubleclick.com;142.250.184.174;OK;1;Madrid;Madrid;ES;40.4165,-3.7026;AS15169 Google LLC;28001;Europe/Madrid;3.66;20-03-2023 15:05:49
doubleclick.net;142.250.184.174;OK;1;Madrid;Madrid;ES;40.4165,-3.7026;AS15169 Google LLC;28001;Europe/Madrid;3.74;20-03-2023 15:05:50
dribbble.com;192.229.220.206;OK;1;Culver City;California;US;33.9728,-118.4276;AS15133 Edgecast Inc.;90094;America/Los_Angeles;3.23;20-03-2023 15:05:50
dropbox.com;162.125.248.18;OK;1;San Francisco;California;US;37.7621,-122.3971;AS19679 Dropbox, Inc.;94107;America/Los_Angeles;3.40;20-03-2023 15:05:50
ds-hostingsolutions.net;34.160.209.102;OK;2;Kansas City;Missouri;US;39.0997,-94.5786;AS15169 Google LLC;64106;America/Chicago;3.78;20-03-2023 15:05:51
dwolla.com;104.16.77.153;OK;1;San Francisco;California;US;37.7621,-122.3971;AS13335 Cloudflare, Inc.;94107;America/Los_Angeles;3.81;20-03-2023 15:05:51
ebay.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;20-03-2023 15:05:51
ebay.es;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;20-03-2023 15:05:51
ebnbanco.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;20-03-2023 15:05:51
edarling.es;104.18.31.109;OK;1;San Francisco;California;US;37.7621,-122.3971;AS13335 Cloudflare, Inc.;94107;America/Los_Angeles;3.50;20-03-2023 15:05:52
edreams.es;35.246.196.126;OK;1;Frankfurt am Main;Hesse;DE;50.1155,8.6842;AS396982 Google LLC;60306;Europe/Berlin;29.0;20-03-2023 15:05:52
ehu.eus;158.227.0.65;OK;1;Bilbao;Basque Country;ES;43.3010,-2.9991;AS15488 Universidad del Pais Vasco - Euskal Herriko Unibertsitatea;48510;Europe/Madrid;13.9;20-03-2023 15:05:53
eitb.eus;151.101.2.133;OK;1;San Francisco;California;US;37.7621,-122.3971;AS54113 Fastly, Inc.;94107;America/Los_Angeles;2.64;20-03-2023 15:05:53
elcomercio.pe;95.100.252.56;OK;1;Paris;Île-de-France;FR;48.8534,2.3488;AS20940 Akamai International B.V.;75000;Europe/Paris;27.9;20-03-2023 15:05:54
elconfidencial.com;107.154.106.101;OK;3;Redwood City;California;US;37.5331,-122.2486;AS19551 Incapsula Inc;94065;America/Los_Angeles;95.3;20-03-2023 15:05:54
elcorteingles.es;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;20-03-2023 15:05:54
eldiario.es;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;20-03-2023 15:05:55
eleconomista.es;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;20-03-2023 15:05:55
elespanol.com;54.192.95.45;OK;1;Madrid;Madrid;ES;40.4165,-3.7026;AS16509 Amazon.com, Inc.;28001;Europe/Madrid;2.69;20-03-2023 15:05:56
elespectador.com;184.31.8.37;OK;1;Madrid;Madrid;ES;40.4165,-3.7026;AS20940 Akamai International B.V.;28009;Europe/Madrid;3.06;20-03-2023 15:05:56
elitetorrent.biz;50.28.56.190;OK;1;Lansing;Michigan;US;42.7325,-84.5555;AS32244 Liquid Web, L.L.C;48901;America/Detroit;114;20-03-2023 15:05:57
elmundo.es;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;20-03-2023 15:05:57
elpais.com;23.200.66.154;OK;1;Madrid;Madrid;ES;40.4165,-3.7026;AS20940 Akamai International B.V.;28009;Europe/Madrid;4.16;20-03-2023 15:05:57
elperiodico.com;195.76.147.109;OK;1;Madrid;Madrid;ES;40.4655,-3.7376;AS3352 TELEFONICA DE ESPANA S.A.U.;28048;Europe/Madrid;5.05;20-03-2023 15:05:57
eltenedor.es;151.101.130.133;OK;1;San Francisco;California;US;37.7621,-122.3971;AS54113 Fastly, Inc.;94107;America/Los_Angeles;3.13;20-03-2023 15:05:58
eltiempo.com;45.60.121.135;OK;2;Redwood City;California;US;37.5331,-122.2486;AS19551 Incapsula Inc;94065;America/Los_Angeles;95.8;20-03-2023 15:05:59
eltiempo.es;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;20-03-2023 15:05:59
wx.mail.qq.com;N/A;KO;3;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;20-03-2023 15:05:59
energytv.es;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;20-03-2023 15:05:59
enom.com;199.16.172.29;OK;2;San Antonio;Texas;US;29.4241,-98.4936;AS2635 Automattic, Inc;78205;America/Chicago;3.01;20-03-2023 15:06:00
entradas.com;184.84.19.134;OK;1;Madrid;Madrid;ES;40.4165,-3.7026;AS16625 Akamai Technologies, Inc.;28009;Europe/Madrid;3.12;20-03-2023 15:06:00
epicgames.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;20-03-2023 15:06:01
